species,count,last_seen,location,date,seen
Lesser Scaup,2,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Harris’s Hawk,2,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Long-billed Dowitcher,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Wilson’s Snipe,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Greater Yellowlegs,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Yellow-headed Blackbird,2,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Lesser Nighthawk,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
American Bittern,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
House Wren,1,2021-04-09,Sweetwater Wetlands,2021-04-11,0
Lesser Yellowlegs,1,2021-04-08,Sweetwater Wetlands,2021-04-11,0
Dusky Flycatcher,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Belted Kingfisher,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Hooded Oriole,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Black-necked Stilt,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Solitary Sandpiper,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Tree Swallow,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Hammond’s Flycatcher,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Virginia’s Warbler,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Loggerhead Shrike,1,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Virginia Rail,2,2021-04-07,Sweetwater Wetlands,2021-04-11,0
Spotted Sandpiper,2,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Black-necked Stilt,6,2021-04-17,El Rio Open Space Preserve,2021-04-18,1
Western Sandpiper,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,1
Lazuli Bunting,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
House Wren,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Wilson’s Snipe,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Canyon Wren,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Black-throated Gray Warbler,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Solitary Sandpiper,2,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Gray Flycatcher,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Tree Swallow,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Rock Wren,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Merlin,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
American Pipit,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Summer Tanager,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,0
Lesser Yellowlegs,1,2021-04-17,El Rio Open Space Preserve,2021-04-18,1
Lesser Nighthawk,1,2021-04-16,El Rio Open Space Preserve,2021-04-18,0
Belted Kingfisher,1,2021-04-15,El Rio Open Space Preserve,2021-04-18,0
Hooded Oriole,1,2021-04-15,El Rio Open Space Preserve,2021-04-18,0
Long-billed Dowitcher,2,2021-04-14,El Rio Open Space Preserve,2021-04-18,0
Belted Kingfisher,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Great Blue Heron,1,2021-04-23,Sweetwater Wetlands,2021-04-24,1
Solitary Sandpiper,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Tree Swallow,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Black-headed Grosbeak,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Brown-headed Cowbird,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Western Tanager,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Lazuli Bunting,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Bank Swallow,2,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Cassin’s Vireo,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Hermit Warbler,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Dusky Flycatcher,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Pacific-slope Flycatcher,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Nashville Warbler,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Virginia Rail,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Hammond’s Flycatcher,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Western Meadowlark,1,2021-04-23,Sweetwater Wetlands,2021-04-24,0
Lesser Nighthawk,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
Spotted Sandpiper,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
Summer Tanager,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
Townsend’s Warbler,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
Peregrine Falcon,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
American Bittern,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
Long-billed Dowitcher,1,2021-04-22,Sweetwater Wetlands,2021-04-24,0
Virginia’s Warbler,1,2021-04-21,Sweetwater Wetlands,2021-04-24,0
Yellow-headed Blackbird,2,2021-04-21,Sweetwater Wetlands,2021-04-24,0
Arizona Woodpecker,1,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,1
Western Wood-Pewee,1,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,1
Sulphur-bellied Flycatcher,2,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,1
Varied Bunting,4,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,1
Hooded Oriole,1,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Bullock’s Oriole,1,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Berylline Hummingbird,1,2021-06-26,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Mexican Whip-poor-will,1,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Elf Owl,1,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Hutton’s Vireo,1,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Painted Redstart,1,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Hepatic Tanager,2,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Elegant Trogon,1,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Lawrence’s Goldfinch,1,2021-06-25,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Northern Pygmy-Owl,1,2021-06-24,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Scott’s Oriole,2,2021-06-24,Madera Canyon–Santa Rita Lodge,2021-06-27,0
Calliope Hummingbird,1,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Hairy Woodpecker,1,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Steller’s Jay,5,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,1
Bushtit,10,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Pygmy Nuthatch,14,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Brown Creeper,2,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Olive Warbler,1,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Red Crossbill,2,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Hermit Warbler,1,2021-07-30,Mt. Lemmon–Butterfly Trail,2021-07-31,0
Tropical Kingbird,2,2021-08-07,Sweetwater Wetlands,2021-08-08,1
Purple Martin,2,2021-08-07,Sweetwater Wetlands,2021-08-08,0
Yellow-headed Blackbird,3,2021-08-06,Sweetwater Wetlands,2021-08-08,0
Lazuli Bunting,1,2021-08-05,Sweetwater Wetlands,2021-08-08,0
Willow Flycatcher,1,2021-08-05,Sweetwater Wetlands,2021-08-08,0
Bullock’s Oriole,1,2021-08-04,Sweetwater Wetlands,2021-08-08,0
Pygmy Nuthatch,1,2021-08-13,Mt. Lemmon–Incinerator Ridge,2021-08-15,1
Hairy Woodpecker,1,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
Brown Creeper,1,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
Red-breasted Nuthatch,1,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
Olive Warbler,1,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
Hermit Warbler,1,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,1
Red Crossbill,3,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
House Wren,1,2021-08-12,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
Grace’s Warbler,6,2021-08-10,Mt. Lemmon–Incinerator Ridge,2021-08-15,1
Greater Pewee,2,2021-08-10,Mt. Lemmon–Incinerator Ridge,2021-08-15,0
Bushtit,5,2021-08-10,Mt. Lemmon–Incinerator Ridge,2021-08-15,1
Nashville Warbler,2,2021-09-04,Santa Gertrudis Lane (foot access only),2021-09-05,1
Common Ground Dove,1,2021-09-04,Santa Gertrudis Lane (foot access only),2021-09-05,0
Northern Beardless-Tyrannulet,1,2021-09-04,Santa Gertrudis Lane (foot access only),2021-09-05,0
Thick-billed Kingbird,1,2021-09-03,Santa Gertrudis Lane (foot access only),2021-09-05,0
Pacific-slope Flycatcher,1,2021-09-03,Santa Gertrudis Lane (foot access only),2021-09-05,0
Black Vulture,2,2021-09-02,Santa Gertrudis Lane (foot access only),2021-09-05,0
Hooded Oriole,1,2021-09-02,Santa Gertrudis Lane (foot access only),2021-09-05,0
Green Kingfisher,1,2021-09-02,Santa Gertrudis Lane (foot access only),2021-09-05,0
Chihuahuan Raven,1,2021-09-02,Santa Gertrudis Lane (foot access only),2021-09-05,0
Belted Kingfisher,1,2021-09-10,Christopher Columbus Park,2021-09-11,1
Purple Martin,16,2021-09-10,Christopher Columbus Park,2021-09-11,1
Vaux’s Swift,6,2021-09-10,Christopher Columbus Park,2021-09-11,0
Peregrine Falcon,1,2021-09-10,Christopher Columbus Park,2021-09-11,0
Tree Swallow,3,2021-09-10,Christopher Columbus Park,2021-09-11,0
Bank Swallow,3,2021-09-10,Christopher Columbus Park,2021-09-11,0
House Wren,1,2021-09-10,Christopher Columbus Park,2021-09-11,0
Loggerhead Shrike,1,2021-10-03,Canoa Ranch Conservation Park,2021-10-03,0
Bank Swallow,3,2021-10-03,Canoa Ranch Conservation Park,2021-10-03,0
American Pipit,2,2021-10-03,Canoa Ranch Conservation Park,2021-10-03,0
Lawrence’s Goldfinch,12,2021-10-02,Canoa Ranch Conservation Park,2021-10-03,1
Hooded Oriole,1,2021-10-02,Canoa Ranch Conservation Park,2021-10-03,0
Prairie Falcon,1,2021-10-01,Canoa Ranch Conservation Park,2021-10-03,0
Dickcissel,1,2021-10-01,Canoa Ranch Conservation Park,2021-10-03,0
Chihuahuan Raven,13,2021-09-30,Canoa Ranch Conservation Park,2021-10-03,0
Common Ground Dove,2,2021-10-08,De Anza Trail–Tubac,2021-10-09,0
Blue-gray Gnatcatcher,1,2021-10-08,De Anza Trail–Tubac,2021-10-09,0
Green Kingfisher,1,2021-10-08,De Anza Trail–Tubac,2021-10-09,0
Painted Bunting,2,2021-10-08,De Anza Trail–Tubac,2021-10-09,0
Cassin’s Vireo,3,2021-10-08,De Anza Trail–Tubac,2021-10-09,0
Brown Creeper,1,2021-10-07,De Anza Trail–Tubac,2021-10-09,0
House Wren,2,2021-10-07,De Anza Trail–Tubac,2021-10-09,0
Chihuahuan Raven,1,2021-10-07,De Anza Trail–Tubac,2021-10-09,0
Black-and-white Warbler,1,2021-10-07,De Anza Trail–Tubac,2021-10-09,0
Hooded Warbler,1,2021-10-07,De Anza Trail–Tubac,2021-10-09,0
Pacific-slope Flycatcher,1,2021-10-07,De Anza Trail–Tubac,2021-10-09,0
Band-tailed Pigeon,50,2021-09-23,Pinetop–Woodland Lake Park,2021-09-24,1
Lewis’s Woodpecker,6,2021-09-23,Pinetop–Woodland Lake Park,2021-09-24,1
American Crow,2,2021-09-23,Pinetop–Woodland Lake Park,2021-09-24,1
Woodhouse’s Scrub-Jay,1,2021-09-19,Pinetop–Woodland Lake Park,2021-09-24,1
Hairy Woodpecker,1,2021-09-19,Pinetop–Woodland Lake Park,2021-09-24,0
Virginia Rail ,1,2021-09-22,Big Springs Environmental Study Area,2021-09-24,1
House Wren,NA,2021-10-30,Marana Wastewater Reclamation Facility (Stingray Drive),2021-10-31,0
Loggerhead Shrike,NA,2021-10-30,Marana Wastewater Reclamation Facility (Stingray Drive),2021-10-31,0
Horned Lark,NA,2021-10-30,Marana Wastewater Reclamation Facility (Stingray Drive),2021-10-31,0
Western Meadowlark,NA,2021-10-30,Marana Wastewater Reclamation Facility (Stingray Drive),2021-10-31,0
Hammond’s Flycatcher,1,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
Hooded Warbler,1,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,1
Brown Creeper,2,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
House Wren,5,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
Dusky Flycatcher,2,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
Blue-gray Gnatcatcher,1,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
Gray Flycatcher,1,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
Cassin’s Vireo,4,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
Green Kingfisher,1,2021-11-05,De Anza Trail–Carmen (Clark Crossing Rd),2021-11-06,0
House Wren,1,2021-11-06,Sabino Canyon Recreation Area,2021-11-07,1
Hutton’s Vireo,1,2021-11-06,Sabino Canyon Recreation Area,2021-11-07,0
Rock Wren,2,2021-11-06,Sabino Canyon Recreation Area,2021-11-07,1
Canyon Wren,1,2021-11-06,Sabino Canyon Recreation Area,2021-11-07,0
Blue-gray Gnatcatcher,2,2021-11-06,Sabino Canyon Recreation Area,2021-11-07,1
Sandhill Crane,2000,2021-11-24,Whitewater Draw WA,2021-11-26,1
Dunlin,1,2021-11-24,Whitewater Draw WA,2021-11-26,0
Loggerhead Shrike,1,2021-11-24,Whitewater Draw WA,2021-11-26,1
American Pipit,5,2021-11-24,Whitewater Draw WA,2021-11-26,0
Swamp Sparrow,1,2021-11-24,Whitewater Draw WA,2021-11-26,0
Western Meadowlark,1,2021-11-24,Whitewater Draw WA,2021-11-26,0
Ross’s Goose,4,2021-11-23,Whitewater Draw WA,2021-11-26,0
Golden Eagle,1,2021-11-23,Whitewater Draw WA,2021-11-26,0
Common Ground Dove,2,2021-11-23,Whitewater Draw WA,2021-11-26,0
Ruddy Ground Dove,1,2021-11-23,Whitewater Draw WA,2021-11-26,0
Merlin,1,2021-11-23,Whitewater Draw WA,2021-11-26,0
Clay-colored Sparrow,1,2021-11-23,Whitewater Draw WA,2021-11-26,0
Tennessee Warbler,1,2021-11-26,Christopher Columbus Park,2021-11-27,1
Northern Parula,4,2021-11-26,Christopher Columbus Park,2021-11-27,1
Cassin’s Vireo,1,2021-11-24,Christopher Columbus Park,2021-11-27,0
American Bittern,1,2021-11-24,Christopher Columbus Park,2021-11-27,0
Common Goldeneye,1,2021-11-23,Christopher Columbus Park,2021-11-27,0
Merlin,1,2021-12-22,Canoa Ranch Conservation Park,2021-12-24,0
Clay-colored Sparrow,1,2021-12-22,Canoa Ranch Conservation Park,2021-12-24,0
Red-breasted Merganser,1,2021-12-22,Canoa Ranch Conservation Park,2021-12-24,0
White-throated Sparrow,1,2021-12-22,Canoa Ranch Conservation Park,2021-12-24,0
Prairie Falcon,1,2021-12-27,Santa Cruz River–Sunset Rd.,2021-12-28,0
Cassin’s Vireo,1,2021-12-27,Santa Cruz River–Sunset Rd.,2021-12-28,0
Black-throated Green Warbler,1,2021-12-27,Santa Cruz River–Sunset Rd.,2021-12-28,0
Hutton’s Vireo,1,2021-12-24,Santa Cruz River–Sunset Rd.,2021-12-28,0
Hutton’s Vireo,2,2021-12-28,Madera Canyon–Madera Picnic Area,2021-12-30,0
Brown Creeper,1,2021-12-28,Madera Canyon–Madera Picnic Area,2021-12-30,0
Louisiana Waterthrush,1,2021-12-28,Madera Canyon–Madera Picnic Area,2021-12-30,1
Hammond’s Flycatcher,1,2021-12-25,Madera Canyon–Madera Picnic Area,2021-12-30,1
Brown Creeper,2,2021-12-29,Madera Canyon–Nature Trail (county line/Madera PA to Amphitheater),2021-12-30,0
Hammond’s Flycatcher,1,2021-12-28,Madera Canyon–Nature Trail (county line/Madera PA to Amphitheater),2021-12-30,1
Hutton’s Vireo,2,2021-12-28,Madera Canyon–Nature Trail (county line/Madera PA to Amphitheater),2021-12-30,0
Olive Warbler,1,2021-12-28,Madera Canyon–Nature Trail (county line/Madera PA to Amphitheater),2021-12-30,0
Golden Eagle,1,2021-12-28,Madera Canyon–Nature Trail (county line/Madera PA to Amphitheater),2021-12-30,0
Ring-necked Duck,1,2022-01-22,Sweetwater Wetlands,2022-01-23,1
Great Egret,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Spotted Sandpiper,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Rock Pigeon,5,2022-01-22,Sweetwater Wetlands,2022-01-23,1
Eurasian Collared-Dove,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Great Blue Heron,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Northern Rough-winged Swallow,2,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Great-tailed Grackle,1,2022-01-22,Sweetwater Wetlands,2022-01-23,1
Cinnamon Teal,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Green-winged Teal,3,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Ruddy Duck,1,2022-01-22,Sweetwater Wetlands,2022-01-23,1
Phainopepla,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Lawrence’s Goldfinch,19,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Common Yellowthroat,3,2022-01-22,Sweetwater Wetlands,2022-01-23,0
American Kestrel,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Lincoln’s Sparrow,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Black-tailed Gnatcatcher,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Cactus Wren,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Black-throated Gray Warbler,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Plumbeous Vireo,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Costa’s Hummingbird,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Belted Kingfisher,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Red-naped Sapsucker,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Mexican Duck,2,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Green Heron,1,2022-01-22,Sweetwater Wetlands,2022-01-23,1
Harris’s Hawk,1,2022-01-22,Sweetwater Wetlands,2022-01-23,1
Northern Harrier,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Rufous-winged Sparrow,NA,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Tree Swallow,4,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Wilson’s Warbler,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Rusty Blackbird,1,2022-01-22,Sweetwater Wetlands,2022-01-23,0
Lesser Scaup,2,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Northern Flicker,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Killdeer,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
European Starling,1,2022-01-21,Sweetwater Wetlands,2022-01-23,1
Redhead,2,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Brewer’s Blackbird,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Great Horned Owl,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
House Wren,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Gray Flycatcher,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Sharp-shinned Hawk,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Wood Duck,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
American Robin,1,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Blue-winged Teal,6,2022-01-21,Sweetwater Wetlands,2022-01-23,0
Greater Roadrunner,1,2022-01-20,Sweetwater Wetlands,2022-01-23,0
Hermit Thrush,1,2022-01-20,Sweetwater Wetlands,2022-01-23,0
Greater Pewee,1,2022-01-20,Sweetwater Wetlands,2022-01-23,0
Peregrine Falcon,1,2022-01-20,Sweetwater Wetlands,2022-01-23,0
Yellow Warbler,1,2022-01-19,Sweetwater Wetlands,2022-01-23,0
American Kestrel,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Cinnamon Teal,6,2022-02-04,Sweetwater Wetlands,2022-02-05,1
Killdeer,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Phainopepla,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Lawrence’s Goldfinch,2,2022-02-04,Sweetwater Wetlands,2022-02-05,1
Rusty Blackbird,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Costa’s Hummingbird,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Green-winged Teal,10,2022-02-04,Sweetwater Wetlands,2022-02-05,1
Northern Rough-winged Swallow,4,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Common Yellowthroat,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Black-throated Gray Warbler,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Mexican Duck,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Black-tailed Gnatcatcher,2,2022-02-04,Sweetwater Wetlands,2022-02-05,1
Eurasian Collared-Dove,2,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Brewer’s Sparrow,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Lincoln’s Sparrow,1,2022-02-04,Sweetwater Wetlands,2022-02-05,1
Yellow Warbler,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Wilson’s Warbler,1,2022-02-04,Sweetwater Wetlands,2022-02-05,1
Blue-winged Teal,2,2022-02-04,Sweetwater Wetlands,2022-02-05,0
White-throated Swift,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Virginia Rail,1,2022-02-04,Sweetwater Wetlands,2022-02-05,0
Chipping Sparrow,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Great Blue Heron,2,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Great Egret,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Belted Kingfisher,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Blue-gray Gnatcatcher,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Savannah Sparrow,3,2022-02-03,Sweetwater Wetlands,2022-02-05,0
House Wren,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Spotted Sandpiper,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Northern Harrier,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Sharp-shinned Hawk,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Red-naped Sapsucker,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Dark-eyed Junco,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Western Screech-Owl,1,2022-02-03,Sweetwater Wetlands,2022-02-05,0
Black-crowned Night-Heron,1,2022-02-02,Sweetwater Wetlands,2022-02-05,0
Greater Roadrunner,2,2022-02-02,Sweetwater Wetlands,2022-02-05,0
Plumbeous Vireo,1,2022-02-02,Sweetwater Wetlands,2022-02-05,0
Yellow-headed Blackbird,4,2022-02-02,Sweetwater Wetlands,2022-02-05,0
Cassin’s Vireo,1,2022-02-02,Sweetwater Wetlands,2022-02-05,0
Phainopepla,2,2022-02-05,Catalina SP,2022-02-06,1
Canyon Towhee,2,2022-02-05,Catalina SP,2022-02-06,0
House Wren,1,2022-02-05,Catalina SP,2022-02-06,0
Long-eared Owl,2,2022-02-05,Catalina SP,2022-02-06,1
Gray Flycatcher,1,2022-02-05,Catalina SP,2022-02-06,0
American Kestrel,1,2022-02-05,Catalina SP,2022-02-06,1
Brewer’s Sparrow,1,2022-02-05,Catalina SP,2022-02-06,0
Sharp-shinned Hawk,1,2022-02-05,Catalina SP,2022-02-06,0
Lark Sparrow,31,2022-02-04,Catalina SP,2022-02-06,0
Greater Roadrunner,1,2022-02-04,Catalina SP,2022-02-06,0
Loggerhead Shrike,1,2022-02-04,Catalina SP,2022-02-06,0
Common Ground Dove,6,2022-02-04,Catalina SP,2022-02-06,0
Rock Wren,3,2022-02-04,Catalina SP,2022-02-06,0
Hermit Thrush,1,2022-02-04,Catalina SP,2022-02-06,0
Great Horned Owl,1,2022-02-04,Catalina SP,2022-02-06,0
Golden Eagle,1,2022-02-04,Catalina SP,2022-02-06,0
Rufous-crowned Sparrow,2,2022-02-04,Catalina SP,2022-02-06,0
Gilded Flicker,2,2022-02-03,Catalina SP,2022-02-06,0
American Robin,1,2022-02-03,Catalina SP,2022-02-06,0
Chipping Sparrow,20,2022-02-03,Catalina SP,2022-02-06,1
Costa’s Hummingbird,2,2022-02-03,Catalina SP,2022-02-06,0
Spotted Towhee,1,2022-02-03,Catalina SP,2022-02-06,0
Savannah Sparrow,15,2022-02-03,Catalina SP,2022-02-06,0
Woodhouse’s Scrub-Jay,1,2022-02-03,Catalina SP,2022-02-06,0
Western Meadowlark,3,2022-02-03,Catalina SP,2022-02-06,0
Tree Swallow,1,2022-02-25,Sweetwater Wetlands,2022-02-26,1
Killdeer,2,2022-02-25,Sweetwater Wetlands,2022-02-26,1
Northern Rough-winged Swallow,NA,2022-02-25,Sweetwater Wetlands,2022-02-26,1
Violet-green Swallow,NA,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Mexican Duck,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Common Yellowthroat,1,2022-02-25,Sweetwater Wetlands,2022-02-26,1
Costa’s Hummingbird,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Great Blue Heron,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Red-naped Sapsucker,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Cliff Swallow,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Savannah Sparrow,2,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Spotted Sandpiper,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Blue-gray Gnatcatcher,2,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Northern Harrier,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Rusty Blackbird,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Black-throated Gray Warbler,1,2022-02-25,Sweetwater Wetlands,2022-02-26,0
Brown-headed Cowbird,2,2022-02-24,Sweetwater Wetlands,2022-02-26,0
Merlin,1,2022-02-24,Sweetwater Wetlands,2022-02-26,0
Eurasian Collared-Dove,5,2022-02-24,Sweetwater Wetlands,2022-02-26,0
Belted Kingfisher,1,2022-02-24,Sweetwater Wetlands,2022-02-26,0
Double-crested Cormorant,1,2022-02-24,Sweetwater Wetlands,2022-02-26,0
Yellow-headed Blackbird,3,2022-02-24,Sweetwater Wetlands,2022-02-26,0
